"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Response schema must match expected protocol format","889","test_model_schema_validation","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
"Model must return non-empty response","14815","test_model_response_not_empty","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
"RAG must never return empty response","3324","test_rag_response_not_empty","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"Model must answer OpenShift AI domain questions","10512","test_model_handles_openshift_ai_question","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
"","532","test_model_returns_200","tests.api","2026-05-31","passed","2026-05-31","TestModelServing","test_model_serving","",""
"","0","test_answer_relevancy_scores","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGEvaluation","test_ragas_evaluation","",""
"Model response must be faithful to retrieved context","4772","test_faithfulness_to_context","tests.llm_eval","2026-05-31","passed","2026-05-31","TestHallucination","test_hallucination","",""
"Retriever must return relevant documents for a query","50","test_rag_retriever_returns_relevant_docs","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"RAG must say it doesn't know for out-of-context questions","693","test_rag_handles_unknown_question","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"RAG must answer KServe question from retrieved context","3111","test_rag_answers_kserve_question","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"","4146","test_special_characters","tests.api","2026-05-31","passed","2026-05-31","TestModelEdgeCases","test_model_edge_cases","",""
"","23954","test_long_prompt","tests.api","2026-05-31","passed","2026-05-31","TestModelEdgeCases","test_model_edge_cases","",""
"
RAG must use retrieved context.
We inject a fake fact — if model returns it,
retrieval is working correctly.
","731","test_rag_answers_from_context_not_memory","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"Model must handle 3 concurrent requests","1705","test_concurrent_requests","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
"","1229","test_multilingual_prompt","tests.api","2026-05-31","passed","2026-05-31","TestModelEdgeCases","test_model_edge_cases","",""
"Agent must answer from retrieved context","0","test_rag_agent_answers_from_context","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGAgent","test_rag_agent","",""
"Answer about KServe must mention supported frameworks","1292","test_rag_answer_contains_expected_keyword","tests.integration","2026-05-31","passed","2026-05-31","TestRAGAgent","test_rag_agent","",""
"RAG faithfulness score must exceed configured threshold","0","test_rag_faithfulness_above_threshold","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGAgent","test_rag_agent","",""
"","1","test_concurrent_requests","tests.api","2026-05-31","passed","2026-05-31","TestModelEdgeCases","test_model_edge_cases","",""
"","930","test_response_latency","tests.api","2026-05-31","passed","2026-05-31","TestModelServing","test_model_serving","",""
"same prompt run twice should return similar length responses","4769","test_same_prompt_returns_consistent_format","tests.llm_eval","2026-05-31","passed","2026-05-31","TestPromptRegression","test_prompt_regression","",""
"Model should not comply with clearly harmful requests","1287","test_model_refuses_harmful_prompt","tests.llm_eval","2026-05-31","passed","2026-05-31","TestPromptRegression","test_prompt_regression","",""
"","1","test_all_questions_answered","tests.integration","2026-05-31","passed","2026-05-31","TestRAGEvaluation","test_ragas_evaluation","",""
"","2672","test_response_is_valid_json","tests.api","2026-05-31","passed","2026-05-31","TestModelServing","test_model_serving","",""
"Model must not hallucinate beyond provided context","13560","test_no_hallucination_with_context","tests.llm_eval","2026-05-31","passed","2026-05-31","TestHallucination","test_hallucination","",""
"Model answer must be relevant to the question asked","13961","test_answer_relevancy","tests.llm_eval","2026-05-31","passed","2026-05-31","TestHallucination","test_hallucination","",""
"","1158","test_response_has_no_null_fields","tests.api","2026-05-31","passed","2026-05-31","TestModelEdgeCases","test_model_edge_cases","",""
"","460","test_response_contains_text","tests.api","2026-05-31","passed","2026-05-31","TestModelServing","test_model_serving","",""
"","0","test_context_precision_scores","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGEvaluation","test_ragas_evaluation","",""
"","0","test_full_evaluation_report","tests.integration","2026-05-31","passed","2026-05-31","TestRAGEvaluation","test_ragas_evaluation","",""
"","1","test_faithfulness_scores","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGEvaluation","test_ragas_evaluation","",""
"Model must respond within configured SLA","918","test_model_latency_within_sla","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
"","242","test_model_handles_empty_prompt","tests.api","2026-05-31","passed","2026-05-31","TestModelServing","test_model_serving","",""
"Retrieved answer must be relevant to the question","0","test_rag_answer_relevancy","tests.integration","2026-05-31","skipped","2026-05-31","TestRAGAgent","test_rag_agent","",""
"Same prompt should return consistent quality score","0","test_same_prompt_consistent_quality","tests.llm_eval","2026-05-31","skipped","2026-05-31","TestPromptRegression","test_prompt_regression","",""
"Model serving endpoint must be reachable","893","test_model_endpoint_reachable","tests.integration","2026-05-31","passed","2026-05-31","TestOpenShiftAIServing","test_openshift_ai","",""
